icao,iata,name,callsign,country,active
GNL,,135 Airways,GENERAL,United States,N
RNX,1T,1Time Airline,NEXTIME,South Africa,Y
WYT,,2 Sqn No 1 Elementary Flying Training School,,United Kingdom,N
TFU,,213 Flight Unit,,Russia,N
CHD,,223 Flight Unit State Airline,CHKALOVSK-AVIA,Russia,N
TTF,,224th Flight Unit,CARGO UNIT,Russia,N
TWF,,247 Jet Ltd,CLOUD RUNNER,United Kingdom,N
SEC,,3D Aviation,SECUREX,United States,N
MLA,Q5,40-Mile Air,MILE-AIR,United States,Y
QRT,,4D Air,QUARTET,Thailand,N
THD,,611897 Alberta Limited,DONUT,Canada,N
AAA,AN,Ansett Australia,ANSETT,Australia,Y
AAB,W9,Abelag Aviation,ABG,Belgium,N
AAC,,Army Air Corps,ARMYAIR,United Kingdom,N
AAD,,Aero Aviation Centre Ltd.,SUNRISE,Canada,N
SII,,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico,N
BZS,,Aero Biniza,BINIZA,Mexico,N
ABM,,Aero Albatros,ALBATROS ESPANA,Spain,N
AAF,ZI,Aigle Azur,AIGLE AZUR,France,Y
AAH,AQ,Aloha Airlines,ALOHA,United States,Y
AAK,,Alaska Island Air,ALASKA ISLAND,United States,N
AAL,AA,American Airlines,AMERICAN,United States,Y
AAM,,Aviation Management Corporation,AM CORP,United States,N
AAO,,Atlantis Airlines (USA),ATLANTIS AIR,United States,N
AAP,,Aerovista Airlines,AEROVISTA GROUP,United Arab Emirates,N
AAR,OZ,Asiana Airlines,ASIANA,Republic of Korea,Y
AAS,4K,Askari Aviation,AL-AAS,Pakistan,Y
AAU,,Australia Asia Airlines,AUSTASIA,Australia,N
AAV,,Astro Air International,ASTRO-PHIL,United States,N
AAW,8U,Afriqiyah Airways,AFRIQIYAH,Libya,Y
AFU,Q9,Afrinat International Airlines,,Gambia,N
AAX,,Afric'air Express,AFREX,Ivory Coast,N
AAY,G4,Allegiant Air,ALLEGIANT,United States,Y
AAZ,,Angus Aviation,ANGUS,Canada,N
ABA,,Artem-Avia,ARTEM-AVIA,Ukraine,N
ABB,,African Business and Transportations,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
ABE,K5,Aban Air,ABAN,Iran,N
ABF,,Aerial Oy,SKYWINGS,Finland,N
ABG,,Abakan-Avia,ABAKAN-AVIA,Russia,N
TUS,M3,ABSA - Aerolinhas Brasileiras,ABSA Cargo,Brazil,Y
ABJ,,Abaet,Abaet,Brazil,N
ABK,,Alberta Citylink,ALBERTA CITYLINK,Canada,N
ABO,,APSA Colombia,AEROEXPRESO,Colombia,N
ABU,,Aerovias Bueno,AEROBUENO,Colombia,N
ACR,,Aerocenter,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
ABV,04,Antrak Air,ANTRAK,Ghana,N
ABX,GB,Airborne Express,ABEX,United States,N
ABX,GB,ABX Air,ABEX,United States,N
ABZ,,ATA Brasil,ATA-BRAZIL,Brazil,N
ACC,,Avcard Services,,United Kingdom,N
ACD,,Academy Airlines,ACADEMY,United States,N
ACO,,Aero Comondu,AERO COMONDU,Mexico,N
ACP,8V,Astral Aviation,ASTRAL CARGO,Kenya,Y
ACS,,Air Cess,,Liberia,N
AAI,,Air Aurora,BOREALIS,United States,N
ACU,,Air Cargo Transportation System,AFRISPIRIT,Kenya,N
ACV,,Air Charter Service,,United Kingdom,N
RSO,E4,Aero Asia International,AERO ASIA,Pakistan,N
ACX,,Air Charters,PARAIR,Canada,N
TGA,YT,Air Togo,AIR TOGO,Togo,N
RSM,,Air Somalia,AIR SOMALIA,Somali Republic,N
ACY,,Atlas Cargo Lines,ATLAS CARGOLINES,Morocco,N
ADA,,Airservices Australia,AUSCAL,Australia,N
ADB,,Antonov Airlines,ANTONOV BUREAU,Ukraine,N
ADC,,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,N
