icao,iata,name,lat,lon,tz,country
00AA,,Aero B Ranch Airport,38.704022,-101.473911,America/Chicago,US
00AK,,Lowell Field,59.948889,-151.692222,America/Anchorage,US
00AL,,Epps Airpark,34.86481,-86.770278,America/Chicago,US
00AN,,Katmai Lodge Airport,59.093472,-156.455833,America/Anchorage,US
00AR,,Arland Airport,38.969651,-97.601557,America/Chicago,US
00AS,,Fulton Airport,34.942803,-97.818019,America/Chicago,US
00CA,,Goldstone /Gts/ Airport,35.354972,-116.885208,America/Los_Angeles,US
00CL,,Williams Ag Airport,39.427189,-121.763428,America/Los_Angeles,US
00FA,,Grass Patch Airport,28.645547,-82.218975,America/New_York,US
00FL,,River Oak Airport,27.23088,-80.969231,America/New_York,US
00GA,,Lt World Airport,33.7675,-84.068333,America/New_York,US
00ID,,Delta Shores Airport,48.145278,-116.214444,America/Los_Angeles,US
00IG,,Goltl Airport,39.724028,-101.395994,America/Chicago,US
00IL,,Hammer Airport,41.978363,-89.560388,America/Chicago,US
00IS,,Hayenga's Cant Find Farms Airport,40.025595,-89.122865,America/Chicago,US
00KS,,Hayden Farm Airport,38.727787,-94.93052,America/Chicago,US
00KY,,Robbins Roost Airport,37.409444,-84.619722,America/New_York,US
00LS,,Lejeune Airport,30.136278,-92.429361,America/Chicago,US
00MN,,Battle Lake Municipal Airport,46.29996,-95.700324,America/Chicago,US
00NC,,North Raleigh Airport,36.08515,-78.371386,America/New_York,US
00NY,,Weiss Airfield,42.895861,-77.495161,America/New_York,US
00OK,,Gull Bay Landing Airport,36.198918,-96.217682,America/Chicago,US
00PN,,Ferrell Field,41.2995,-80.211111,America/New_York,US
00SC,,Flying O Airport,34.009444,-80.267222,America/New_York,US
00SD,,Homan Field,44.809158,-96.498897,America/Chicago,US
00TN,,Thompson Farms Airport,36.120451,-86.359532,America/Chicago,US
00TS,,Alpine Range Airport,32.607939,-97.242322,America/Chicago,US
00TT,,Nowhere Airport,34.516606,-99.936941,America/Chicago,US
00TX,,Delva Field,32.544452,-95.67313,America/Chicago,US
00VA,,Vaughan Airport,36.576,-78.999167,America/New_York,US
00VI,,Groundhog Mountain Airport,36.663333,-80.4995,America/New_York,US
00WA,,Howell Airport,47.178431,-122.7718,America/Los_Angeles,US
00WI,,Northern Lite Airport,44.304285,-89.050114,America/Chicago,US
00WN,,Hawks Run Airport,46.25,-117.249,America/Los_Angeles,US
00WV,,Lazy J Aerodrome,38.828889,-79.866111,America/New_York,US
00XA,,Weeski Ranch Airport,30.224038,-96.014153,America/Chicago,US
01AL,,Ware Island Airport,32.945956,-86.513868,America/Chicago,US
01AN,,Mc Hone Heights Airport,61.649028,-149.339028,America/Anchorage,US
01CL,,Swansboro Country Airport,38.799902,-120.734376,America/Los_Angeles,US
01CN,,Coleman Homestead Airport,62.106982,-150.109299,America/Anchorage,US
01FA,,Rybolt Ranch Airport,28.589444,-81.14423,America/New_York,US
01FL,,Cedar Knoll Flying Ranch Airport,28.781936,-81.159228,America/New_York,US
01GE,,The Farm Airport,32.675151,-82.770995,America/New_York,US
01ID,,Lava Hot Springs Airpark,42.608002,-112.033079,America/Boise,US
01LA,,Barham Airport,32.639027,-91.773736,America/Chicago,US
01MT,,Crystal Lakes Resort Airport,48.789132,-114.880436,America/Denver,US
01NC,,Topsail Airpark,34.475278,-77.581389,America/New_York,US
01NH,,Moore Airfield,43.644517,-72.087031,America/New_York,US
01NK,,Granville Airport,43.422944,-73.268025,America/New_York,US
01NM,,Champion Ranch Airport,33.008611,-104.540278,America/Denver,US
01NV,,Lantana Ranch Airport,38.763889,-119.027222,America/Los_Angeles,US
01OL,,Spring Creek Ranch East Airport,34.37257,-96.716037,America/Chicago,US
01PA,,Powell Kaiser Airport,40.362486,-79.165481,America/New_York,US
